568,320,594,348
476,320,505,348
100,320,135,350
8,320,29,360
67,319,99,352
338,315,358,346
289,315,312,345
588,314,638,349
417,314,442,345
235,314,257,347
198,313,225,351
159,313,201,350
127,313,149,350
383,309,408,346
444,298,488,348
610,237,640,275
572,213,595,249
346,213,368,256
290,213,310,244
206,211,238,272
444,205,489,275
358,205,409,275
127,205,150,240
331,204,359,241
196,189,220,212
105,176,133,197
172,133,195,166
331,123,359,166
270,121,306,166
359,111,393,167
15,110,68,157
164,96,195,128
565,95,611,161
203,95,223,131
121,91,145,131
348,26,389,57
570,0,625,64
381,0,404,25
270,0,324,57
141,0,180,58
